motif	tf	dbd_family
PAX5_MA0014.3	PAX5	NAN
PBX2_MA1113.1	PBX2	NAN
PBX3_MA1114.1	PBX3	NAN
POU5F1_MA1115.1	POU5F1	NAN
PRDM1_MA0508.2	PRDM1	NAN
RBPJ_MA1116.1	RBPJ	NAN
RELB_MA1117.1	RELB	NAN
SIX1_MA1118.1	SIX1	NAN
SIX2_MA1119.1	SIX2	NAN
SOX10_MA0442.2	SOX10	NAN
SOX13_MA1120.1	SOX13	NAN
TEAD2_MA1121.1	TEAD2	NAN
TFDP1_MA1122.1	TFDP1	NAN
TWIST1_MA1123.1	TWIST1	NAN
USF2_MA0526.2	USF2	NAN
ZBTB7A_MA0750.2	ZBTB7A	NAN
ZEB1_MA0103.3	ZEB1	NAN
ZNF24_MA1124.1	ZNF24	NAN
ZNF384_MA1125.1	ZNF384	NAN
ZNF282_MA1154.1	ZNF282	NAN
ZSCAN4_MA1155.1	ZSCAN4	NAN
GATA3_MA0037.3	GATA3	NAN
FOS+JUN_MA0099.3	FOS+JUN	NAN
FOS+JUN_MA1126.1	FOS+JUN	NAN
FOSB+JUN_MA1127.1	FOSB+JUN	NAN
FOSL1+JUN_MA1128.1	FOSL1+JUN	NAN
FOSL1+JUN_MA1129.1	FOSL1+JUN	NAN
FOSL2+JUN_MA1130.1	FOSL2+JUN	NAN
FOSL2+JUN_MA1131.1	FOSL2+JUN	NAN
JUN+JUNB_MA1132.1	JUN+JUNB	NAN
JUN+JUNB_MA1133.1	JUN+JUNB	NAN
FOS+JUNB_MA1134.1	FOS+JUNB	NAN
FOSB+JUNB_MA1135.1	FOSB+JUNB	NAN
FOSB+JUNB_MA1136.1	FOSB+JUNB	NAN
FOSL1+JUNB_MA1137.1	FOSL1+JUNB	NAN
FOSL2+JUNB_MA1138.1	FOSL2+JUNB	NAN
FOSL2+JUNB_MA1139.1	FOSL2+JUNB	NAN
JUNB_MA1140.1	JUNB	NAN
FOS+JUND_MA1141.1	FOS+JUND	NAN
FOSL1+JUND_MA1142.1	FOSL1+JUND	NAN
FOSL1+JUND_MA1143.1	FOSL1+JUND	NAN
FOSL2+JUND_MA1144.1	FOSL2+JUND	NAN
FOSL2+JUND_MA1145.1	FOSL2+JUND	NAN
NR1A4+RXRA_MA1146.1	NR1A4+RXRA	NAN
NR4A2+RXRA_MA1147.1	NR4A2+RXRA	NAN
PPARA+RXRA_MA1148.1	PPARA+RXRA	NAN
RARA+RXRG_MA1149.1	RARA+RXRG	NAN
RORB_MA1150.1	RORB	NAN
RORC_MA1151.1	RORC	NAN
SOX15_MA1152.1	SOX15	NAN
TFE3_MA0831.2	TFE3	NAN
VDR_MA0693.2	VDR	NAN
Smad4_MA1153.1	Smad4	NAN
EGR1_MA0162.3	EGR1	NAN
IRF3_MA1418.1	IRF3	NAN
IRF4_MA1419.1	IRF4	NAN
IRF5_MA1420.1	IRF5	NAN
TCF7L1_MA1421.1	TCF7L1	NAN
